User,Name,Surname,Role,Password,Child,Subject
00a05cc62,Wan,Tan,Student,)^46#iP2_ZHu,,
042b07ba1,Daniel,Perez,Student,Ri.KOZps~}yl,,
046c35846,Sarah,Schmit,Student,D%E\2_!Dfr5g,,
05b604102,Lian,Abdullah,Student,.I2^dE5gVRN~,,
0604ff3d3,Nina,Borg,Student,ObRk>x6TF::Z,,
077584d71,Mohamed,Gamal,Student,WGCVBaV`-;Dq,,
081b100cf,Maximilian,Gruber,Student,"r,[8sY86n7`-",,
0857b3d8e,Hugo,Pérez,Student,fQDnbJl-vTk2,,
0af619e4b,Aylin,Barat,Student,"""[1WLJz*EF3;",,
0ec99ce96,Polina,Novik,Student,SOfu#^wz67\8,,
0ef305578,Jack,White,Student,|(\7kNZ[y*P~,,
111422ee7,Bekim,Krasniqi,Student,"'u?3+oZqa,jK",,
1115dae61,Poema,Wong,Student,8RWkxGw0i+l6,,
111ad4bea,Brian,Otieno,Student,".=yF>sB"",iic",,
113496351,Neema,Bakari,Student,"6x';IY<!Zs""v",,
121b44bef,Lina,Meier,Student,"Qk[_/A"".l4X3",,
13107114f,Elie,Allah,Student,42=C0?DL&\|M,,
13ae7b9ac,Katerina,Samaras,Student,"X3[]!,>iy.U6",,
1434f44e1,Natalia,Petrova,Student,2[0kx!%@%fnh,,
176bb0f33,Alma,Nielsen,Student,liPguSN(58.%,,
17d06c355,Khaled,Gawas,Student,QGXSefDwopCO,,
1813081bd,James,Johnson,Student,&Dh3d<Ww>\c:,,
1be68632e,Karim,Trabelsi,Student,"(.XZ""xv>{Uwh",,
1dddd964c,Omar,Saidi,Student,LjKqhd6B:p*m,,
davidsmith19,William,Fuentes,Parent,:6d|0^6G3P.=,00a05cc62,
stevenhill94,Andrew,Perez,Parent,"V1!P@-cdP|T""",042b07ba1,
mcortez24,Edward,Johnson,Parent,VKf\7xjkM*.[,046c35846,
kathy8412,Christine,Williams,Parent,=!oDdXXcV]5?,05b604102,
rileyrandy59,Deborah,Williamson,Parent,=Gs~)&{SS%DH,0604ff3d3,
michelletaylor14,John,Rodriguez,Parent,'i%%}`9^L-Sa,077584d71,
arobinson53,Jeffrey,Miller,Parent,BQ~|Y;Scz<?I,081b100cf,
joshuajones42,Gina,Miller,Parent,D{'CkaDnyg;p,0857b3d8e,
huntdevon66,Kevin,Myers,Parent,~ax0C_jSpZ/~,0af619e4b,
derrickwilson89,Deanna,Garrett,Parent,"9#Msu_p,,IN3",0ec99ce96,
julie9049,Catherine,Watson,Parent,[:_'s^S>87y^,0ef305578,
suzanne8078,Miguel,Adams,Parent,*a^%NWqz$69E,111422ee7,
andrew8283,Lauren,Harvey,Parent,su9|z.{W<}Zm,1115dae61,
ericstout80,Jamie,Foster,Parent,"79D""~wFqLp0p",111ad4bea,
keith5869,Tammy,Baker,Parent,B!mkz.|dGrL+,113496351,
natasha2997,John,Williams,Parent,/AleCh]Zy~qv,121b44bef,
mthomas70,Jonathan,Watson,Parent,&F6sPl&?j9*b,13107114f,
carneyvanessa16,Chase,Black,Parent,VR.HaQ6@]B{h,13ae7b9ac,
keithlewis75,Donald,Smith,Parent,A'mqT)LPMTsi,1434f44e1,
cynthia6410,Amanda,Morris,Parent,*{Z5)O*BGP1q,176bb0f33,
hamiltonchristopher95,Michael,Wheeler,Parent,"1!J>p_e+,y""a",17d06c355,
shaunaustin85,Nicole,Phillips,Parent,"ip)W!R{Q,rVS",1813081bd,
rickymorgan31,Erica,White,Parent,F!\iCDi1q=V$,1be68632e,
joelivingston69,Joseph,Brooks,Parent,aL93.fL7WgqZ,1dddd964c,
TCH-10234,Alice,Thompson,Teacher,TeachM3#456,,Mathematics
TCH-30789,Clara,Rodriguez,Teacher,Sci3nc3!Fun,,Physics
TCH-40912,Daniel ,Peterson,Teacher,Cl@ssRoom789,,English
TCH-51243,Eva,Martinez,Teacher,ArtRocks#123,,Visual Arts
